timestamp,user,ip,raw_message,label,label_id
2025-12-09 00:29:06.538628,bob,192.168.22.221,Multiple failed login attempts detected,brute_force,1
2025-12-10 22:01:06.539627,eve,192.168.37.31,Multiple failed login attempts detected,brute_force,1
2025-12-19 06:14:06.534631,user1,192.168.19.41,Account locked due to multiple failures,brute_force,1
2026-01-02 03:10:06.537629,bob,192.168.47.131,Failed login attempt #3 for user david,brute_force,1
2025-12-19 04:05:06.538628,bob,192.168.18.11,Multiple failed login attempts detected,brute_force,1
2025-12-03 19:55:06.533628,alice,192.168.42.71,Repeated login failures: alice@192.168.33.61,brute_force,1
2025-12-09 23:32:06.533628,eve,192.168.21.101,Suspicious login pattern detected from 192.168.16.11,brute_force,1
2025-12-07 12:09:06.534631,bob,192.168.3.241,Account locked due to multiple failures,brute_force,1
2025-12-18 01:07:06.536627,admin,192.168.46.1,Invalid credentials provided for admin,brute_force,1
2025-12-21 03:18:06.537629,bob,192.168.41.181,Suspicious login pattern detected from 192.168.8.61,brute_force,1
2026-01-02 14:04:06.539627,charlie,192.168.25.11,Invalid credentials provided for user3,brute_force,1
2025-12-27 11:26:06.534631,david,192.168.32.151,Authentication failed: invalid password,brute_force,1
2025-12-19 22:58:06.533628,bob,192.168.11.21,Invalid credentials provided for bob,brute_force,1
2025-12-04 11:57:06.536627,david,192.168.17.11,Password authentication failed for user2,brute_force,1
2025-12-30 01:53:06.533628,system,192.168.33.151,Failed login attempt #3 for user user2,brute_force,1
2025-12-28 00:43:06.534631,user1,192.168.26.31,Suspicious login pattern detected from 192.168.26.111,brute_force,1
2025-12-10 17:23:06.536627,eve,192.168.18.181,Brute force attack detected from 192.168.6.191,brute_force,1
2025-12-26 16:42:06.537629,user1,192.168.32.131,Authentication failed: invalid password,brute_force,1
2025-12-22 21:42:06.540627,eve,192.168.40.241,Failed login attempt #9 for user charlie,brute_force,1
2025-12-15 19:18:06.533628,charlie,192.168.13.1,Authentication failed: invalid password,brute_force,1
2025-12-30 06:58:06.534631,user3,192.168.34.81,Password authentication failed for bob,brute_force,1
2025-12-02 12:40:06.540627,user3,192.168.25.31,Invalid credentials provided for user3,brute_force,1
2025-12-17 18:12:06.538628,user2,192.168.16.31,Invalid credentials provided for bob,brute_force,1
2025-12-09 20:02:06.539627,system,192.168.46.41,Repeated login failures: alice@192.168.32.151,brute_force,1
2026-01-04 18:28:06.540627,bob,192.168.33.221,Login rate limit exceeded from 192.168.7.181,brute_force,1
2026-01-01 06:22:06.537629,user3,192.168.27.81,Invalid credentials provided for user1,brute_force,1
2025-12-30 03:34:06.540627,admin,192.168.47.41,Repeated login failures: system@192.168.49.241,brute_force,1
2025-12-05 19:57:06.537629,user1,192.168.13.1,Login rate limit exceeded from 192.168.20.31,brute_force,1
2025-12-31 16:11:06.536627,david,192.168.39.1,Login rate limit exceeded from 192.168.9.101,brute_force,1
2025-12-12 02:24:06.533628,eve,192.168.25.71,Invalid credentials provided for user2,brute_force,1
2025-12-11 21:32:06.538628,admin,192.168.42.31,Repeated login failures: alice@192.168.44.1,brute_force,1
2025-12-15 11:07:06.534631,alice,192.168.33.221,Multiple failed login attempts detected,brute_force,1
2026-01-01 19:42:06.536627,admin,192.168.13.131,Brute force attack detected from 192.168.12.171,brute_force,1
2025-12-28 09:22:06.536627,bob,192.168.30.1,Login rate limit exceeded from 192.168.20.91,brute_force,1
2025-12-05 23:26:06.540627,charlie,192.168.1.171,Brute force attack detected from 192.168.3.181,brute_force,1
2025-12-22 11:54:06.539627,eve,192.168.44.241,Repeated login failures: user3@192.168.43.161,brute_force,1
2025-12-01 18:33:06.535629,user1,192.168.2.71,Authentication failed: invalid password,brute_force,1
2025-12-15 14:16:06.534631,admin,192.168.44.81,Brute force attack detected from 192.168.49.51,brute_force,1
2025-12-22 08:08:06.536627,user1,192.168.29.91,Account locked due to multiple failures,brute_force,1
2025-12-17 19:08:06.540627,eve,192.168.36.91,Account locked due to multiple failures,brute_force,1
2026-01-02 11:02:06.535629,eve,192.168.3.41,Failed login attempt #17 for user user3,brute_force,1
2025-12-18 23:48:06.536627,david,192.168.47.151,Failed login attempt #1 for user system,brute_force,1
2025-12-16 06:46:06.540627,user1,192.168.32.191,Brute force attack detected from 192.168.37.201,brute_force,1
2025-12-31 21:57:06.533628,system,192.168.7.191,Failed SSH login attempt from 192.168.30.221,brute_force,1
2025-12-03 05:25:06.533628,bob,192.168.46.71,Brute force attack detected from 192.168.4.51,brute_force,1
2025-12-15 06:37:06.538628,bob,192.168.39.81,Authentication failed: invalid password,brute_force,1
2025-12-29 04:44:06.537629,user1,192.168.12.201,Brute force attack detected from 192.168.4.1,brute_force,1
2026-01-05 11:03:06.540627,eve,192.168.48.51,Failed SSH login attempt from 192.168.6.71,brute_force,1
2025-12-25 13:39:06.538628,alice,192.168.45.181,Authentication failed: invalid password,brute_force,1
2025-12-20 21:15:06.539627,alice,192.168.48.221,Invalid credentials provided for user2,brute_force,1
2025-12-24 09:19:06.533628,user1,192.168.48.131,Multiple failed login attempts detected,brute_force,1
2025-12-10 19:03:06.537629,bob,192.168.22.21,Failed SSH login attempt from 192.168.45.161,brute_force,1
2025-12-01 22:39:06.535629,eve,192.168.8.211,Authentication failed: invalid password,brute_force,1
2025-12-22 06:10:06.539627,eve,192.168.14.211,Login rate limit exceeded from 192.168.10.61,brute_force,1
2025-12-09 08:44:06.540627,user2,192.168.37.91,Brute force attack detected from 192.168.41.171,brute_force,1
2026-01-01 11:02:06.535629,admin,192.168.6.111,Password authentication failed for bob,brute_force,1
2025-12-28 04:06:06.539627,david,192.168.22.191,Account locked due to multiple failures,brute_force,1
2025-12-26 14:33:06.534631,admin,192.168.6.201,Authentication failed: invalid password,brute_force,1
2025-12-15 00:51:06.540627,user1,192.168.34.11,Repeated login failures: alice@192.168.46.181,brute_force,1
2025-12-23 14:36:06.533628,david,192.168.42.11,Suspicious login pattern detected from 192.168.49.121,brute_force,1
2025-12-24 09:48:06.536627,alice,192.168.24.71,Suspicious login pattern detected from 192.168.1.41,brute_force,1
2025-12-08 12:29:06.535629,david,192.168.20.51,Password authentication failed for user1,brute_force,1
2025-12-05 23:49:06.536627,alice,192.168.2.161,Failed login attempt #3 for user user2,brute_force,1
2025-12-14 00:40:06.540627,admin,192.168.6.211,Failed login attempt #19 for user user2,brute_force,1
2026-01-02 05:35:06.537629,user3,192.168.43.21,Failed login attempt #1 for user user3,brute_force,1
