timestamp,user,ip,raw_message,label,label_id
2025-12-27 18:01:06.558628,user1,192.168.7.91,UDP flood detected: source 192.168.35.181,ddos,4
2025-12-05 12:03:06.556631,eve,192.168.43.231,Abnormal request rate: 29105 req/s,ddos,4
2025-12-27 15:54:06.558628,eve,192.168.38.191,DDoS attack detected: 25520 requests/sec from 192.168.49.11,ddos,4
2025-12-15 07:01:06.558628,bob,192.168.44.191,High volume of requests detected from single IP,ddos,4
2025-12-23 00:29:06.559627,user3,192.168.26.161,Connection flood from 192.168.28.171,ddos,4
2025-12-24 02:05:06.563627,user2,192.168.44.131,Unusual traffic spike from 192.168.9.11,ddos,4
2025-12-04 21:11:06.562627,user3,192.168.42.141,SYN flood detected from 192.168.18.181,ddos,4
2025-12-08 13:51:06.563627,user1,192.168.49.231,SYN flood detected from 192.168.22.231,ddos,4
2025-12-24 23:01:06.556631,admin,192.168.2.1,Abnormal request rate: 24033 req/s,ddos,4
2026-01-02 18:15:06.558628,user2,192.168.25.191,HTTP flood attack in progress,ddos,4
2025-12-16 04:53:06.563627,david,192.168.34.81,Connection flood from 192.168.30.131,ddos,4
2025-12-12 23:29:06.557630,admin,192.168.22.101,UDP flood detected: source 192.168.26.181,ddos,4
2025-12-16 22:56:06.558628,user2,192.168.18.171,Abnormal request rate: 43126 req/s,ddos,4
2025-12-07 21:22:06.559627,charlie,192.168.24.1,Distributed denial of service detected,ddos,4
2025-12-18 14:48:06.559627,user3,192.168.3.31,High volume of requests detected from single IP,ddos,4
2025-12-31 22:17:06.562627,user1,192.168.24.121,High volume of requests detected from single IP,ddos,4
2025-12-12 09:22:06.559627,david,192.168.40.121,Abnormal request rate: 44766 req/s,ddos,4
2025-12-30 07:07:06.558628,bob,192.168.23.51,Abnormal request rate: 17758 req/s,ddos,4
2025-12-06 13:43:06.563627,david,192.168.15.61,High volume of requests detected from single IP,ddos,4
2025-12-09 09:16:06.561627,david,192.168.39.41,UDP flood detected: source 192.168.28.131,ddos,4
2025-12-18 21:34:06.561627,user2,192.168.35.211,Connection flood from 192.168.39.61,ddos,4
2025-12-15 05:21:06.556631,user1,192.168.9.1,UDP flood detected: source 192.168.5.1,ddos,4
2025-12-08 10:56:06.563627,charlie,192.168.16.1,Abnormal request rate: 48961 req/s,ddos,4
