timestamp,user,ip,raw_message,label,label_id
2025-12-22 03:59:06.531628,admin,192.168.1.121,Routine system check completed,normal,0
2025-12-20 14:47:06.531628,alice,192.168.14.181,Report generated successfully,normal,0
2025-12-18 16:46:06.532628,system,192.168.11.21,Report generated successfully,normal,0
2025-12-15 05:28:06.529623,eve,192.168.27.51,Connection established to database,normal,0
2025-12-14 11:59:06.532628,user3,192.168.27.31,Scheduled task executed successfully,normal,0
2025-12-14 19:01:06.529623,admin,192.168.29.241,Connection established to database,normal,0
2025-12-07 10:07:06.528622,user2,192.168.7.161,File saved: config.ini,normal,0
2026-01-02 21:37:06.531628,bob,192.168.13.111,File malware.exe accessed successfully,normal,0
2025-12-27 15:10:06.529623,david,192.168.26.211,User logout successful,normal,0
2025-12-14 23:58:06.530621,alice,192.168.34.241,Database backup completed successfully,normal,0
2025-12-16 20:21:06.531628,user3,192.168.11.171,Session established for user admin,normal,0
2025-12-02 16:35:06.528622,alice,192.168.15.201,User profile updated,normal,0
2025-12-11 08:44:06.532628,david,192.168.6.141,System health check passed,normal,0
2025-12-23 14:25:06.529623,user3,192.168.23.91,System health check passed,normal,0
2025-12-08 22:19:06.530621,user2,192.168.35.71,Scheduled task executed successfully,normal,0
2025-12-25 03:29:06.530621,charlie,192.168.49.161,Database backup completed successfully,normal,0
2025-12-22 09:04:06.528622,user3,192.168.46.201,Connection established to database,normal,0
2025-12-15 04:31:06.526613,eve,192.168.42.231,Email sent to security@company.com,normal,0
2025-12-16 20:23:06.526613,system,192.168.26.181,Scheduled task executed successfully,normal,0
2025-12-10 04:48:06.530621,alice,192.168.31.151,File saved: config.ini,normal,0
2025-12-04 10:07:06.530621,bob,192.168.47.241,Database backup completed successfully,normal,0
2025-12-09 10:16:06.532628,admin,192.168.40.51,Report generated successfully,normal,0
2025-12-28 05:11:06.528622,admin,192.168.16.141,Report generated successfully,normal,0
2025-12-04 19:30:06.527613,admin,192.168.12.141,Routine system check completed,normal,0
2025-12-23 09:00:06.528622,user3,192.168.42.41,Session established for user admin,normal,0
2025-12-16 19:30:06.530621,system,192.168.24.161,User logout successful,normal,0
2025-12-11 20:51:06.531628,user3,192.168.1.71,Database backup completed successfully,normal,0
2025-12-27 23:34:06.529623,user2,192.168.33.211,User profile updated,normal,0
2025-12-18 11:21:06.529623,bob,192.168.2.1,Session established for user admin,normal,0
