threat_type,severity,confidence,alert_count,recommended_action,action_priority
data_exfil,MEDIUM,0.7482255048891504,12,BLOCK_IP,1
data_exfil,LOW,0.8301032179500581,35,ESCALATE,2
data_exfil,LOW,0.7180511200992112,31,ESCALATE,2
data_exfil,MEDIUM,0.7270825683903546,8,BLOCK_IP,1
data_exfil,MEDIUM,0.7385809816990001,45,BLOCK_IP,1
data_exfil,HIGH,0.9405518707242404,15,ESCALATE,1
data_exfil,HIGH,0.699771167290747,4,ESCALATE,1
data_exfil,HIGH,0.7282375272245247,29,ESCALATE,1
data_exfil,HIGH,0.938996565994754,38,ESCALATE,1
data_exfil,MEDIUM,0.9138509765857674,5,BLOCK_IP,1
data_exfil,MEDIUM,0.8264041466598641,14,BLOCK_IP,1
data_exfil,LOW,0.946274214629047,37,ESCALATE,2
data_exfil,LOW,0.7490972230263357,35,ESCALATE,2
data_exfil,HIGH,0.7524760954489104,49,ESCALATE,1
data_exfil,HIGH,0.9476426397996304,35,ESCALATE,1
data_exfil,HIGH,0.7195427110605068,27,ESCALATE,1
data_exfil,LOW,0.7288545611039411,50,ESCALATE,2
data_exfil,LOW,0.6913284731728391,28,ESCALATE,2
data_exfil,MEDIUM,0.7731690661613264,4,BLOCK_IP,1
data_exfil,LOW,0.9091455476402248,17,ESCALATE,2
data_exfil,LOW,0.8274635461529452,36,ESCALATE,2
data_exfil,LOW,0.8545244372870433,49,ESCALATE,2
data_exfil,LOW,0.7669204927238682,36,ESCALATE,2
data_exfil,LOW,0.7776670424377164,14,ESCALATE,2
data_exfil,LOW,0.8780673136227682,45,ESCALATE,2
data_exfil,HIGH,0.932871656130924,45,ESCALATE,1
data_exfil,LOW,0.7199358716299131,48,ESCALATE,2
data_exfil,HIGH,0.7068985094441566,28,ESCALATE,1
data_exfil,HIGH,0.6981873130142642,23,ESCALATE,1
data_exfil,MEDIUM,0.7273791436690231,34,BLOCK_IP,1
data_exfil,LOW,0.6747067754580945,32,ESCALATE,2
